granule_uid,obs_id,period,mass,star_spec_type,detection_type,semi_major_axis,radius
LP 714-47 b,7534,4.052037,0.0969,M0V,Primary Transit,0.0417,0.419
LP 890-9 b,8385,2.7299025,0.0415,,Primary Transit,0.01875,0.1178
LP 890-9 c,8386,8.457463,0.0796,,Primary Transit,0.03984,0.12196
LTT 1445A b,7150,5.3587657,0.00903,M,Primary Transit,0.03813,0.11643
LTT 1445A c,7378,3.1239035,0.00485,M,Primary Transit,0.0266,0.10233
LTT 3780 b,7301,0.7683881,0.00982,M4V,Primary Transit,0.012,0.11883
LTT 3780 c,7302,12.252048,0.0267,M4V,Primary Transit,0.077,0.205
LTT 9779 b,7171,0.792052,0.09225,G8,Primary Transit,0.01679,0.4211
MASCARA-1 b,6599,2.14878,3.7,A8,Primary Transit,0.043,1.5
MASCARA-3 b,7129,5.5514926,5.18,F5,Primary Transit,0.06971,1.272
MOA-2009-BLG-266L b,679,2780.0,0.0327,,Microlensing,3.2,
MOA-2009-BLG-387L b,815,1970.0,2.6,M,Microlensing,1.8,
NGTS-1 b,6660,2.647298,0.812,M05,Primary Transit,0.0326,1.33
NGTS-11 b,7403,35.455285,0.37,,Primary Transit,0.2,0.823
NGTS-12 b,7503,7.532806,0.208,,Primary Transit,0.0757,1.048
NGTS-13 b,7557,4.119027,4.84,,Primary Transit,0.0549,1.142
NGTS-14A b,7556,3.5357173,0.092,K1V,Primary Transit,0.0403,0.44
NGTS-15 b,7824,3.27623,0.751,G6V,Primary Transit,0.0441,1.1
NGTS-16 b,7825,4.84532,0.667,G7V,Primary Transit,0.0523,1.3
NGTS-17 b,7826,3.24253,0.764,G4V,Primary Transit,0.0391,1.24
NGTS-18 b,7827,3.05125,0.409,G5V,Primary Transit,0.0448,1.21
NGTS-2 b,6752,4.5111204,0.67,F5V,Primary Transit,0.0584,1.536
NGTS-20 b,8253,54.18915,2.98,G1IV,Primary Transit,0.313,1.07
NGTS-21 b,8425,1.5433897,2.36,,Primary Transit,0.0236,1.33
NGTS-3A b,6748,1.6753728,2.38,G9V,Primary Transit,0.023,1.48
NGTS-4 b,6833,1.3373508,0.0648,,Primary Transit,0.019,0.2837
NGTS-5 b,7093,3.3569866,0.229,K2V,Primary Transit,0.0382,1.136
NGTS-6 b,7083,0.882058,1.33,,Primary Transit,0.016623018,1.271
NGTS-8 b,7207,2.4997,0.93,KOV,Primary Transit,0.035,1.09
NGTS-9 b,7208,4.43527,2.9,F8V,Primary Transit,0.058,1.07
NN Ser (AB) c,751,5660.0,6.91,WD+M,Pulsar,5.38,
NN Ser (AB) d,609,2830.0,2.28,WD+M,Pulsar,3.39,
OGLE-2005-071L b,288,3600.0,3.5,,Microlensing,3.6,
OGLE-2005-390L b,315,3500.0,0.017,M,Microlensing,2.1,
OGLE-2006-109L b,451,1790.0,0.727,,Microlensing,2.3,
OGLE-2006-109L c,452,4931.0,0.271,,Microlensing,4.5,
OGLE-2016-BLG-1190L b,6659,1223.6,13.38,,Microlensing,2.17,
OGLE-2018-BLG-0740L b,7106,3100.0,4.5,,Microlensing,4.2,
OGLE-TR-10 b,248,3.10129,0.68,G or K,Primary Transit,0.04162,1.72
OGLE-TR-111 b,251,4.01451,0.54,G or K,Primary Transit,0.047,1.077
OGLE-TR-113 b,123,1.4324772,1.24,K,Primary Transit,0.0229,1.11
OGLE-TR-132 b,124,1.689868,1.17,F,Primary Transit,0.0306,1.23
OGLE-TR-182 b,431,3.9791,1.06,,Primary Transit,0.051,1.47
OGLE-TR-211 b,445,3.67724,0.75,,Primary Transit,0.051,1.26
OGLE-TR-56 b,1,1.211909,1.3,G,Primary Transit,0.0225,1.2
OGLE2-TR-L9 b,437,2.4855335,4.34,F3,Primary Transit,0.0404,1.614
Oph 98 b,7873,8035500.0,7.8,M9-L1,Imaging,200.0,1.86
PDS 70 b,6770,45108.0,7.0,K7,Imaging,22.7,
PDS 70 c,7123,69945.0,4.4,K7,Imaging,30.2,
PSR 1257 12 b,275,25.262,7e-05,PSR,Pulsar,0.19,
PSR 1257 12 c,277,66.5419,0.013,PSR,Pulsar,0.36,
PSR 1257 12 d,236,98.2114,0.012,PSR,Pulsar,0.46,
PSR 1719-14 b,884,0.090706293,1.0,PSR,Pulsar,0.0044,0.4
PSR B1620-26 (AB) b,235,36525.0,2.5,PSR,Pulsar,23.0,
PSR J1807-2459 A b,2458,0.07,9.4,PSR,Pulsar,,
PSR J2241-5236 b,2457,0.1456722395,12.0,PSR,Pulsar,,
Qatar-1 b,785,1.42002504,1.294,K,Primary Transit,0.02332,1.143
Qatar-10 b,7062,1.645321,0.736,F7V,Primary Transit,0.0286,1.534
Qatar-2 b,866,1.33711647,2.494,K,Primary Transit,0.02153,1.254
Qatar-6 A b,6684,3.506189,0.668,K2V,Primary Transit,0.0423,1.062
Qatar-7 b,6936,2.032046,1.88,F4V,Primary Transit,0.0352,1.7
Qatar-8 b,7060,3.71495,0.371,GOV,Primary Transit,0.0474,1.285
Qatar-9 b,7061,1.540731,1.19,K5V,Primary Transit,0.0234,1.009
SWEEPS-04 b,351,4.2,3.8,,Primary Transit,0.055,0.81
SWEEPS-11 b,358,1.796,9.7,,Primary Transit,0.03,1.13
TIC 172900988 (AB) b,7859,188.763,2.84,,Pulsar,0.867,0.9876
TIC 237913194 b,7514,15.168865,1.942,,Primary Transit,0.1207,1.117
TOI-1062 b,7851,4.11412,0.032,,Primary Transit,0.052,0.20198
TOI-1064 b,8056,6.443868,0.0425,,Primary Transit,0.06152,0.2308
TOI-1064 c,8057,12.226574,0.0079,,Primary Transit,0.09429,0.23651
TOI-1075 b,8109,0.6047328,0.013,,Primary Transit,0.0118,0.1534
TOI-1107 b,8235,4.0782387,3.35,,Primary Transit,0.0561,1.3
TOI-1130 c,7326,8.350381,0.974,K,Primary Transit,0.07098,1.5
TOI-1136 b,8455,4.17278,0.00947,,Primary Transit,,0.17
TOI-1136 c,8456,6.25725,0.019,,Primary Transit,,0.25685
TOI-1136 d,8457,12.51937,0.025,,Primary Transit,,0.4128
TOI-1136 e,8458,18.7922,0.017,,Primary Transit,,0.23544
TOI-1136 f,8459,26.3162,0.0261,,Primary Transit,,0.3462
TOI-1136 g,8460,39.5387,0.0151,,Primary Transit,,0.2257
TOI-1201 b,7979,2.4919863,0.01976,M2V,Primary Transit,0.0287,0.21545
TOI-122 b,7532,5.07803,0.0277,,Primary Transit,0.0392,0.2427
TOI-1231 b,7858,24.245586,0.0485,M3V,Primary Transit,0.1288,0.3256
TOI-1235 b,7382,3.444717,0.0186,M0.5V,Primary Transit,0.03826,0.15113
TOI-1238 b,8013,0.764597,0.01183,,Primary Transit,0.0139,0.1079
TOI-1238 c,8014,3.294736,0.02618,,Primary Transit,0.037,0.1882
TOI-1246 b,8180,4.30744,0.0255,,Primary Transit,0.049,0.2685
TOI-1246 c,8181,5.904144,0.0277,,Primary Transit,0.061,0.2239
TOI-1246 d,8182,18.6559,0.0167,,Primary Transit,0.131,0.3131
TOI-1246 e,8183,37.9216,0.0466,,Primary Transit,0.211,0.3372
TOI-125 b,7273,4.65382,0.0299,K0V,Primary Transit,0.05186,0.2432
TOI-125 c,7274,9.15059,0.02086,K0V,Primary Transit,0.0814,0.24614
TOI-125 d,7275,19.98,0.0428,K0V,Primary Transit,0.137,0.2614
TOI-1259A b,7555,3.47798,0.441,,Primary Transit,0.0407,1.022
TOI-1260 b,7841,3.12748,0.02709,K6V,Primary Transit,0.0366,0.20832
TOI-1260 c,7842,7.49325,0.03725,K6V,Primary Transit,0.0656,0.2516
TOI-1266 b,7421,10.894843,0.05,M2,Primary Transit,0.0736,0.2114
TOI-1266 c,7422,18.80151,0.0201,M2,Primary Transit,0.1058,0.1392
TOI-1268 b,8112,8.1577094,0.29,K1-K2,Primary Transit,0.072,0.82
TOI-1298 b,7934,4.537164,0.356,,Primary Transit,0.059,0.841
TOI-132 b,7205,2.1097008,0.07183,G8V,Primary Transit,0.026,0.306
TOI-1333 b,7552,4.720219,2.37,,Primary Transit,0.0626,1.396
TOI-1338 b,7260,95.141,0.095,,Primary Transit,0.4491,0.5986
TOI-1411 b,8102,1.4520358,0.0079,K6V,Primary Transit,0.023,0.1213
TOI-1422 b,8250,12.9972,0.028,G2V,Primary Transit,0.108,0.3533
TOI-1431 b/MASCARA-5 b,7848,2.65022,3.14,AmC,Primary Transit,0.047,1.508
TOI-1442 b,8101,0.41,0.005,,Primary Transit,0.0071,0.1044
TOI-1444 b,7861,0.4702694,0.01218,,Primary Transit,,0.12463
TOI-1452 b,8371,11.06201,0.01517,M4,Primary Transit,0.061,0.14917
TOI-1468 b,8376,1.8805136,0.0101,M3.0V,Primary Transit,0.0208,0.1142
TOI-1468 c,8377,15.532482,0.02089,M3.0V,Primary Transit,0.0849,0.18414
TOI-1478 b,7553,10.180249,0.847,,Primary Transit,0.0903,1.06
TOI-150 b,7036,5.857487,2.51,F,Primary Transit,0.0643,1.255
TOI-157 b,7320,2.0845435,1.18,G9IV,Primary Transit,0.0318,1.286
TOI-1601 b,7554,5.331751,0.99,,Primary Transit,0.06864,1.239
TOI-163 b,7149,4.231306,1.22,F,Primary Transit,0.058,1.489
TOI-1634 b,7829,0.989343,0.01545,M2,Primary Transit,0.01545,0.1597
TOI-1669 b,8399,2.68005,0.0132,G5,Primary Transit,,0.214
TOI-1670 b,8140,10.98462,0.0434,,Primary Transit,0.103,0.1838
TOI-1670 c,8141,40.74976,0.63,,Primary Transit,0.249,0.987
TOI-1685 b,7816,0.6691403,0.01189,M3.0V,Primary Transit,,0.152
TOI-169 b,7321,2.2554477,0.791,G1V,Primary Transit,0.03524,1.086
TOI-1693 b,8100,1.7666957,0.0088,,Primary Transit,0.0226,0.1258
TOI-1694 b,8400,3.77015,0.0979,,Primary Transit,,0.4853
TOI-1696 b,8138,2.50031,0.1787,,Primary Transit,0.0235,0.2891
TOI-1710 b,8172,24.283429,0.089,G5V,Primary Transit,0.16,0.4764
TOI-172 b,7010,9.47721,5.41,,Primary Transit,0.0913,0.965
TOI-1728 b,7428,3.49151,0.08426,,Primary Transit,0.0391,0.4505
TOI-1749 b,8390,2.38839,0.06,M0V,Primary Transit,0.0291,0.124
TOI-1749 c,8391,4.4929,0.0066,M0V,Primary Transit,0.0443,0.1891
TOI-1749 d,8392,9.0497,0.0135,M0V,Primary Transit,0.0707,0.2248
TOI-1759 b,8115,18.849975,0.0214,M0V,Primary Transit,0.1176,0.273
TOI-178 b,6858,1.914558,0.00472,,Primary Transit,0.02607,0.10278
TOI-178 c,6859,3.23845,0.01501,,Primary Transit,0.037,0.1489
TOI-178 d,6860,6.5577,0.00947,,Primary Transit,0.0592,0.22946
TOI-178 e,7524,9.961881,0.01214,,Primary Transit,0.0783,0.1969
TOI-178 f,7525,15.231915,0.02429,,Primary Transit,0.1039,0.20403
TOI-178 g,7526,20.7095,0.0124,,Primary Transit,0.1275,0.256
TOI-1789 b,7902,3.208666,0.7,,Primary Transit,0.04873,1.4
TOI-179 b,8431,4.1374386,0.0758,,Primary Transit,0.0476,0.2436
TOI-1807 b,7926,0.549229,0.00714,,Primary Transit,0.0135,0.1222
TOI-1811 b,8204,3.7130818,0.974,,Primary Transit,0.04393,1.0
TOI-1820 b,8188,4.8607,2.3,,Primary Transit,0.069,1.12
TOI-1842 b,8023,9.5739,0.214,,Primary Transit,0.1,1.04
TOI-1860 b,8099,1.062107,0.0069,G5V,Primary Transit,0.0204,0.1169
TOI-1899 b,7433,29.02,0.66,M0,Primary Transit,0.1587,1.37
TOI-2000 b,8422,3.098331,0.0324,,Primary Transit,0.0426,0.2355
TOI-2000 c,8423,9.1270553,0.2382,,Primary Transit,0.0875,0.711
TOI-201 b,7819,52.97818,0.42,F6V,Primary Transit,0.3,1.0
TOI-2025 b,8189,8.872086,4.4,,Primary Transit,0.089,1.12
TOI-206 b,8108,0.7363104,0.0069,,Primary Transit,0.0112,0.116
TOI-2081 b,8240,10.50534,0.016,M1,Primary Transit,0.0752,0.182
TOI-2109 b,8012,0.67247414,5.02,F0,Primary Transit,,1.347
TOI-2136 b,8134,7.85191,0.0148,,Primary Transit,0.054,0.1865
TOI-2145 b,8205,10.261081,5.35,,Primary Transit,0.1108,1.103
TOI-2152 b,8206,3.3773512,2.83,,Primary Transit,0.05064,1.281
TOI-2154 b,8207,3.6240801,0.92,,Primary Transit,0.0513,1.453
TOI-2158 b,8190,8.60077,0.82,,Primary Transit,0.074,0.96
TOI-216 b,7013,17.0968,0.059,,Primary Transit,0.1293,0.6861
TOI-216 c,7014,34.5516,0.56,,Primary Transit,0.2068,0.901
TOI-2180 b,8061,260.158,2.755,,Primary Transit,0.828,1.01
TOI-2193 b,8217,2.1225735,0.94,,Primary Transit,0.03319,1.77
TOI-2196 b,8369,1.1947268,0.082,,Primary Transit,0.02234,0.3131
TOI-220 b,7853,10.695264,0.0428,,Radial Velocity,0.0892,0.2694
TOI-2202 b,7954,11.9101,0.978,K8V,Primary Transit,0.09564,1.0
TOI-2202 c,7955,24.6744,0.369,K8V,TTV,0.15544,
TOI-2207 b,8218,8.001968,0.64,,Primary Transit,0.0854,0.995
TOI-2236 b,8219,3.5315902,1.58,,Primary Transit,0.05,1.282
TOI-2257 b,8000,35.189346,0.0179,M3,Primary Transit,0.145,0.19574
TOI-2260 b,8098,0.3524728,0.011,,Primary Transit,0.0097,0.1445
TOI-2285 b,7995,27.26955,0.0614,,Primary Transit,0.1363,0.1552
TOI-237 b,7531,5.436098,0.009,,Primary Transit,0.0341,0.1285
TOI-2406 b,7941,3.0766896,0.0286,M4V,Primary Transit,0.0228,0.2623
TOI-2411 b,8096,0.7826942,0.0123,K5V,Primary Transit,0.0144,0.1499
TOI-2421 b,8220,4.474032,0.333,,Primary Transit,0.0543,0.924
TOI-2427 b,8095,1.3060011,0.0129,K,Primary Transit,0.0202,0.161
TOI-2445 b,8094,0.3711281,0.006,M,Primary Transit,0.0064,0.1115
TOI-2497 b,8208,10.655661,5.21,,Primary Transit,0.1167,1.0
TOI-251 b,7539,4.93777,1.0,,Primary Transit,0.05741,0.2444
TOI-2567 b,8221,5.983944,0.2,,Primary Transit,0.0672,0.975
TOI-257 b,7271,18.38827,0.134,F8/G0V,Primary Transit,0.1523,0.626
TOI-269 b,7850,3.6977104,0.0277,M2V,Primary Transit,0.0345,0.2471
TOI-270 b,7048,3.36008,0.006,M3.0V,Primary Transit,0.0306,0.11125
TOI-270 c,7049,5.660172,0.0208,M3.0V,Primary Transit,0.0472,0.2159
TOI-270 d,7050,11.38014,0.017,M3.0V,Primary Transit,0.0733,0.19
TOI-3331 b,8222,2.0180231,2.27,,Primary Transit,0.03144,1.158
TOI-3362 b,7973,18.09547,5.029,G5,Primary Transit,0.153,1.142
TOI-3540 b,8223,3.119999,1.18,,Primary Transit,0.04289,2.1
TOI-3629 b,8092,3.936551,0.26,,Primary Transit,0.043,0.74
TOI-3693 b,8224,8.088516,1.02,,Primary Transit,0.081,1.124
TOI-3714 b,8091,2.154849,0.7,,Primary Transit,0.027,1.01
TOI-3757 b,8147,3.438753,0.2684,,Primary Transit,0.03845,1.07
TOI-3884 b,8461,4.5445697,0.0519,,Primary Transit,0.0354,0.5629
TOI-402 b,7046,4.75642,0.0227,,Primary Transit,0.05245,0.1516
TOI-402 c,7047,17.1784,0.02766,,Primary Transit,0.1235,0.225
TOI-4137 b,8225,3.8016122,1.01,,Primary Transit,0.05222,1.211
TOI-4138 b,7983,3.660028,0.67,,Primary Transit,0.051,1.49
TOI-431 b,7948,0.490047,0.00966,,Primary Transit,0.0113,0.1142
TOI-431 c,7949,4.8494,2.84,,Radial Velocity,0.052,
TOI-431 d,7950,12.46103,0.0311,,Primary Transit,0.098,0.2935
TOI-4479 b,8239,1.1589,0.0261,M3,Primary Transit,0.0164,0.2516
TOI-4562 b,8378,225.11757,3.29,F7V,Primary Transit,0.771,1.072
TOI-500 b,8107,0.5481579,0.005,,Primary Transit,0.0128,0.1035
TOI-5153 b,8254,20.33003,3.26,F8V,Primary Transit,0.158,1.06
TOI-5205 b,8414,1.630757,1.08,M4.0,Primary Transit,0.0199,1.035
TOI-530 b,7984,6.387597,0.4,,Primary Transit,0.052,0.83
TOI-532 b,7939,2.32666508,0.1935,,Primary Transit,0.0296,0.5192
TOI-544 b,8104,1.548351,0.016,,Primary Transit,0.0251,0.1811
TOI-5542 b,8424,75.12375,1.32,,Primary Transit,0.332,1.009
TOI-558 b,7799,14.574071,3.61,,Primary Transit,0.1291,1.086
TOI-559 b,7800,6.9839095,6.01,,Primary Transit,0.0723,1.091
TOI-561 b,7486,0.4465688,0.00705,,Primary Transit,0.0106,0.1222
TOI-561 c,7487,10.778831,0.0208,,Primary Transit,0.089,0.2596
TOI-561 d,7529,25.7124,0.03823,,Primary Transit,0.159,0.2516
TOI-561 e,7530,77.03,0.0428,,Primary Transit,0.33,0.2275
TOI-564 b,7255,1.651144,1.463,,Primary Transit,0.02734,1.02
TOI-620 b,8158,5.0988179,0.0485,M2.5V,Primary Transit,0.04825,0.3354
TOI-628 b,7550,3.4095675,6.33,,Primary Transit,0.0486,1.06
TOI-640 b,7551,5.0037775,0.88,,Primary Transit,0.06608,1.771
TOI-674 b,7891,1.977143,0.0739,,Primary Transit,0.0231,0.4693
TOI-677 b,7211,11.2366,1.236,,Primary Transit,0.1038,1.179
TOI-700 b,7257,9.97701,0.00406,M2V,Primary Transit,0.0637,0.0901
TOI-700 c,7258,16.051998,0.0249,M2V,Primary Transit,0.0925,0.2346
TOI-700 d,7259,37.426,0.00711,M2V,Primary Transit,0.163,0.1062
TOI-712 b,8002,9.531361,0.0176,,Primary Transit,0.07928,0.1828
TOI-712 c,8003,51.69906,0.0274,,Primary Transit,0.2447,0.241
TOI-712 d,8004,84.8396,0.0236,,Primary Transit,0.3405,0.22072
TOI-763 b,7473,5.6057,0.0308,,Primary Transit,0.06,0.2034
TOI-763 c,7474,12.2737,0.02932,,Primary Transit,0.1,0.2346
TOI-776 b,7491,8.24664,0.01466,M1V,Primary Transit,0.0652,0.1633
TOI-776 c,7492,15.6653,0.0192,M1V,Primary Transit,0.1,0.1838
TOI-824 b,7485,1.392978,0.058104,K4V,Primary Transit,0.02177,0.26104
TOI-833 b,8106,1.04318777,0.006,M0V,Primary Transit,0.0171,0.1133
TOI-836 b,8373,3.81673,0.01425,,Primary Transit,0.0422,0.15202
TOI-836 c,8374,8.59545,0.0302,,Primary Transit,0.075,0.2308
TOI-849 b,7332,0.76552414,0.12299,G,Primary Transit,0.01598,0.30726
TOI-905 b,7256,3.739494,0.667,,Primary Transit,0.04666,1.171
TOI-942 b,7537,4.32419,2.599,,Primary Transit,0.04796,0.4291
TOI-942 c,7538,10.15643,2.501,,Primary Transit,0.0847,0.5166
TOI-954 b,7528,3.6849729,0.174,,Primary Transit,0.04963,0.852
TOI-969 b,8453,1.8237305,0.0286,K,Primary Transit,0.02636,0.24668
TRAPPIST-1 b,2630,1.51087081,0.0027,M8,Primary Transit,0.01111,0.09689
TRAPPIST-1 c,2631,2.4218233,0.00434,M8,Primary Transit,0.01521,0.09421
TRAPPIST-1 d,2632,4.04961,0.0013,M8,Primary Transit,0.02144,0.0689
TRAPPIST-1 e,6526,6.099615,0.002,M8,Primary Transit,0.02817,0.0819
TRAPPIST-1 f,6527,9.20669,0.0021,M8,Primary Transit,0.0371,0.09323
TRAPPIST-1 g,6528,12.35294,0.00422,M8,Primary Transit,0.0451,0.1005
TRAPPIST-1 h,6529,20.0,0.001041,M8,Primary Transit,0.063,0.0674
TVLM 513-46546 b,7453,220.0,0.38,M8.5V,Astrometry,0.3,
TrES-1 b,246,3.0300722,0.761,K0V,Primary Transit,0.0393,1.099
TrES-2 A b,344,2.4706133738,1.253,G0V,Primary Transit,0.03555,1.189
TrES-4 b,414,3.5539268,0.917,F,Primary Transit,0.05084,1.706
TrES-5 b,910,1.4822446,1.778,,Primary Transit,0.02446,1.209
V 1298 Tau b,7029,24.1382,2.2,K0-K1.5,Primary Transit,0.1688,0.8217
V391 Peg b,374,1170.0,3.2,sdB,Pulsar,1.7,
WASP-10 b,464,3.0927616,3.16,K5,Primary Transit,0.0371,1.08
WASP-103 b,1499,0.925542,1.49,F8V,Primary Transit,0.01985,1.528
WASP-104 b,2295,1.7554137,1.272,G8,Primary Transit,0.02918,1.137
WASP-106 b,2296,9.289715,1.925,F9,Primary Transit,0.0917,1.085
WASP-108 b,2321,2.6755463,1.167,F9,Primary Transit,0.0397,1.215
WASP-109 b,2322,3.3190233,0.91,F4,Primary Transit,0.0463,1.443
WASP-110 b,2323,3.7783977,0.515,G9,Primary Transit,0.0457,1.238
WASP-111 b,2324,2.310965,1.85,F5,Primary Transit,0.03914,1.442
WASP-112 b,2325,3.0353992,0.88,G6,Primary Transit,0.0382,1.191
WASP-113 b,3998,4.54216874538,0.475,G1,Primary Transit,0.05885,1.409
WASP-114 b,3999,1.5487743,1.769,G0,Primary Transit,0.02851,1.339
WASP-118 b,4020,4.0460435,0.514,F6,Primary Transit,0.05453,1.44
WASP-119 b,2550,2.49979,1.23,G5,Primary Transit,0.0363,1.4
WASP-12 b,459,1.09141937,1.47,G0,Primary Transit,0.02344,1.9
WASP-121 b,2410,1.2749255,1.184,F6V,Primary Transit,0.02544,1.865
WASP-124 b,2551,3.37265,0.6,F9,Primary Transit,0.0499,1.24
WASP-126 b,2552,3.2888,0.2841,G2,Primary Transit,0.0449,0.96
WASP-126 c,7158,7.63,0.202,G2,TTV,,
WASP-129 b,2553,5.748145,1.0,G1,Primary Transit,0.0628,0.93
WASP-13 b,466,4.353011,0.485,G1V,Primary Transit,0.05379,1.365
WASP-130 b,2614,11.55098,1.23,G6,Primary Transit,0.1012,0.89
WASP-131 b,2615,5.322023,0.27,G0,Primary Transit,0.0607,1.22
WASP-132 b,2616,7.133514,0.41,K4,Primary Transit,0.067,0.8966
WASP-133 b,2554,2.176423,1.16,G4,Primary Transit,0.0345,1.21
WASP-134 b,6967,10.1467583,1.412,G4,Primary Transit,0.0956,0.988
WASP-135 b,2471,1.4013794,1.9,G5,Primary Transit,0.0243,1.3
WASP-136 b,4009,5.215357,1.51,,Primary Transit,0.0661,1.38
WASP-137 b,6968,3.9080284,0.681,G0,Primary Transit,0.0519,1.27
WASP-138 b,4010,3.634433,1.22,F9,Primary Transit,0.0494,
WASP-139 b,2617,5.924262,0.117,K0,Primary Transit,0.062,0.8
WASP-14 b,467,2.2437661,7.341,F5V,Primary Transit,0.036,1.281
WASP-140 b,2618,2.2359835,2.44,K0,Primary Transit,0.0323,1.44
WASP-141 b,2619,3.310651,2.69,F9,Primary Transit,0.0469,1.21
WASP-142 b,2620,2.052868,0.84,F8,Primary Transit,0.0347,1.53
WASP-143 b,6969,3.778873,0.725,G1,Primary Transit,0.049,1.234
WASP-146 b,6970,3.396944,1.11,G0,Primary Transit,0.0451,1.228
WASP-147 b,6783,4.60273,0.275,G4,Primary Transit,0.0549,1.115
WASP-148 b,7395,8.80345,0.287,,Primary Transit,0.08215,0.756
WASP-15 b,468,3.7520656,0.542,F7,Primary Transit,0.0499,1.428
WASP-150 b,7383,5.644207,8.46,,Primary Transit,0.0694,1.07
WASP-151 b,6663,4.533471,0.31,G1,Primary Transit,0.055,1.13
WASP-153 b,6664,3.332609,0.39,G0,Primary Transit,0.048,1.55
WASP-156 b,6665,3.8361603,0.1303,K3,Primary Transit,0.0451,0.554
WASP-157 b,2598,3.951623,0.576,G2 V,Primary Transit,0.0499,0.998
WASP-166 b,6893,5.44354215,0.102,F9,Primary Transit,0.0668,0.6155
WASP-167 b,6585,2.0219591,8.0,F1 V,Primary Transit,0.0365,1.51
WASP-169 b,7095,5.6114118,0.561,,Primary Transit,0.0681,1.304
WASP-171 b,7096,3.8186244,1.084,,Primary Transit,0.0504,0.988
WASP-175 b,7097,3.0652907,0.99,,Primary Transit,0.044,1.208
WASP-176 b,7384,3.899052,0.855,,Primary Transit,0.0535,1.505
WASP-177 b,7051,3.071722,0.508,K2,Primary Transit,0.03957,1.58
WASP-178 b,7170,3.3448285,1.41,A1IV-V,Primary Transit,0.0558,1.94
WASP-18 b,577,0.9414518,10.4296,F6,Primary Transit,0.02047,1.165
WASP-18 c,7157,2.1558,0.1737,F6,TTV,,
WASP-180 A b,7108,3.409265,0.8,F7 V-V,Primary Transit,0.048,1.29
WASP-181 b,7052,4.5195064,0.299,G2,Primary Transit,0.05427,1.184
WASP-182 b,7098,3.3769848,0.148,,Primary Transit,0.0451,0.85
WASP-183 b,7053,4.1117771,0.502,G9/K0,Primary Transit,0.04632,1.47
WASP-184 b,7169,5.1817,0.57,G0,Primary Transit,0.0627,1.33
WASP-186 b,7499,5.026799,4.22,,Primary Transit,0.06,1.11
WASP-187 b,7500,5.147878,0.8,,Primary Transit,0.0653,1.64
WASP-189 b,6871,2.724033,1.99,A6IV-V,Primary Transit,0.05053,1.619
WASP-190 b,6890,5.367753,1.0,F6-IV-V,Primary Transit,0.0663,1.15
WASP-2 A b,347,2.15222144,0.847,K1V,Primary Transit,0.03138,1.079
WASP-20 A b,914,4.8996285,0.313,,Primary Transit,0.06003,1.459
WASP-21 b,666,4.3225126,0.3,G3V,Primary Transit,0.052,1.21
WASP-22 b,663,3.5327313,0.617,,Primary Transit,0.04698,1.199
WASP-24 b,667,2.3412127,1.071,F8-9,Primary Transit,0.03651,1.3
WASP-25 b,668,3.76483,0.58,G4,Primary Transit,0.0474,1.26
WASP-26 b,664,2.7566004,1.028,G0,Primary Transit,0.03985,1.281
WASP-28 b,669,3.40883,0.907,F8-G0,Primary Transit,0.04469,1.213
WASP-29 b,670,3.92271218,0.243,K4V,Primary Transit,0.047,0.775
WASP-3 b,432,1.8468372,2.06,F7V,Primary Transit,0.0313,1.454
WASP-31 b,707,3.405909,0.478,F,Primary Transit,0.04657,1.537
WASP-33 b,671,1.21986967,2.8,A5,Primary Transit,0.02558,1.603
WASP-34 b,783,4.3176782,0.59,G5,Primary Transit,0.0524,1.22
WASP-36 b,706,1.5373653,2.279,G2,Primary Transit,0.02624,1.269
WASP-37 b,725,3.577471,1.8,G2,Primary Transit,0.04339,1.16
WASP-38 b,747,6.871815,2.712,F8,Primary Transit,0.07551,1.079
WASP-39 b,818,4.055259,0.28,G8,Primary Transit,0.0486,1.27
WASP-4 b,433,1.338231602,1.1974,G8,Primary Transit,0.02312,1.3846
WASP-41 b,782,3.052404,0.94,G8V,Primary Transit,0.04,1.18
WASP-47 b,916,4.1591289,1.14243,G9V,Primary Transit,0.052,1.127
WASP-47 c,2445,596.0,1.31,G9V,Radial Velocity,1.41,
WASP-47 d,2426,9.03077,0.04122,G9V,Primary Transit,0.088,0.319
WASP-47 e,2425,0.789592,0.02149,G9V,Primary Transit,0.0173,0.161
WASP-49 A b,917,2.7817387,0.378,,Primary Transit,0.0378,1.115
WASP-5 b,434,1.6284246,1.637,G5,Primary Transit,0.02729,1.171
WASP-50 b,885,1.9550959,1.437,G9,Primary Transit,0.02913,1.138
WASP-52 b,918,1.7497798,0.46,K2V,Primary Transit,0.0272,1.27
WASP-53 b,919,3.3098443,2.132,K3,Primary Transit,0.04101,1.074
WASP-55 b,921,4.46563,0.61,G1,Primary Transit,0.0533,1.33
WASP-58 b,924,5.01718,0.89,G2V,Primary Transit,0.0561,1.37
WASP-59 b,925,7.919585,0.863,K5V,Primary Transit,0.0697,0.775
WASP-6 b,460,3.361006,0.503,G8,Primary Transit,0.0421,1.224
WASP-60 b,926,4.3,0.5,G1V,Primary Transit,,0.9
WASP-61 b,927,3.8559,2.06,F7,Primary Transit,0.0514,1.24
WASP-62 b,928,4.411953,0.57,F7,Primary Transit,0.0567,1.39
WASP-63 b,929,4.37809,0.38,G8,Primary Transit,0.0574,1.43
